loan_id,predicted_approval,default_probability,loan_amount,expected_loss_dollars,expected_loss_pct,risk_premium_basis_points,suggested_interest_rate,annual_interest_revenue,net_profit,risk_tier,approval_tier
0,1,0.7914465779308955,7874,4362.295248239509,0.5540126045516268,5540.126045516268,0.6040126045516269,4755.99524823951,393.7000000000007,Subprime,High-Risk
1,1,0.8155493105674027,11588,6615.409787598543,0.5708845173971818,5708.845173971818,0.6208845173971819,7194.809787598543,579.4000000000005,High-Risk,High-Risk
2,0,0.19630672345463726,82098,11281.472567525167,0.13741470641824607,1374.1470641824608,0.1874147064182461,15386.372567525168,4104.9000000000015,Prime,Near-Prime
3,0,0.17880445715347643,24984,3127.0753902657184,0.1251631200074335,1251.6312000743349,0.1751631200074335,4376.275390265719,1249.2000000000003,Prime,Near-Prime
4,1,0.8641570939385851,34516,20879.07237806894,0.6049099657570095,6049.099657570095,0.6549099657570095,22604.872378068943,1725.800000000003,High-Risk,High-Risk
5,0,0.18806595812483115,15008,1975.7457296762261,0.1316461706873818,1316.461706873818,0.1816461706873818,2726.1457296762264,750.4000000000003,Prime,Near-Prime
6,1,0.6998559227247124,13960,6838.992076865889,0.48989914590729866,4898.991459072987,0.5398991459072987,7536.99207686589,698.0000000000009,Subprime,High-Risk
7,1,0.7334609617144155,18418,9456.218794999273,0.5134226732000908,5134.226732000909,0.5634226732000909,10377.118794999275,920.9000000000015,Subprime,High-Risk
8,1,0.9025868448337604,16608,10493.113623299365,0.6318107913836323,6318.107913836323,0.6818107913836323,11323.513623299366,830.4000000000015,High-Risk,High-Risk
9,0,0.12871672525554967,14117,1271.965807302816,0.09010170767888476,901.0170767888476,0.14010170767888475,1977.815807302816,705.8499999999999,Prime,Prime
10,1,0.7971064750498591,162471,90654.68027547796,0.5579745325349014,5579.745325349014,0.6079745325349014,98778.23027547797,8123.550000000003,Subprime,High-Risk
11,1,0.8368490338607784,13729,8042.370270112237,0.5857943237025448,5857.943237025448,0.6357943237025449,8728.820270112239,686.4500000000016,High-Risk,High-Risk
