loan_id,predicted_approval,default_probability,loan_amount,expected_loss_dollars,expected_loss_pct,risk_premium_basis_points,suggested_interest_rate,annual_interest_revenue,net_profit,risk_tier,approval_tier
0,1,0.7914465779308955,7874,1557.9625886569677,0.19786164448272386,1978.6164448272386,0.24786164448272385,1951.6625886569677,393.70000000000005,Subprime,High-Risk
1,1,0.8155493105674025,11588,2362.6463527137653,0.20388732764185064,2038.8732764185063,0.2538873276418506,2942.046352713765,579.3999999999996,High-Risk,High-Risk
2,0,0.1963067234546373,82098,4029.097345544703,0.04907668086365932,490.7668086365932,0.09907668086365932,8133.997345544703,4104.900000000001,Prime,Near-Prime
3,0,0.17880445715347643,24984,1116.8126393806137,0.044701114288369106,447.0111428836911,0.09470111428836911,2366.012639380614,1249.2000000000003,Prime,Near-Prime
4,1,0.864157093938585,34516,7456.811563596049,0.21603927348464624,2160.3927348464626,0.2660392734846463,9182.61156359605,1725.800000000001,High-Risk,High-Risk
5,0,0.18806595812483115,15008,705.6234748843665,0.04701648953120779,470.1648953120779,0.09701648953120778,1456.0234748843664,750.3999999999999,Prime,Near-Prime
6,1,0.6998559227247124,13960,2442.4971703092465,0.1749639806811781,1749.639806811781,0.22496398068117812,3140.4971703092465,698.0,Subprime,High-Risk
7,1,0.7334609617144155,18418,3377.2209982140266,0.1833652404286039,1833.652404286039,0.2333652404286039,4298.120998214026,920.8999999999996,Subprime,High-Risk
8,1,0.9025868448337604,16608,3747.5405797497733,0.2256467112084401,2256.467112084401,0.2756467112084401,4577.940579749773,830.3999999999996,High-Risk,High-Risk
9,0,0.12871672525554967,14117,454.27350260814865,0.03217918131388742,321.79181313887415,0.08217918131388742,1160.1235026081488,705.8500000000001,Prime,Prime
10,1,0.7971064750498591,162471,32376.671526956416,0.19927661876246477,1992.7661876246477,0.24927661876246476,40500.22152695641,8123.549999999996,Subprime,High-Risk
11,1,0.8368490338607785,13729,2872.275096468657,0.20921225846519462,2092.122584651946,0.2592122584651946,3558.7250964686564,686.4499999999994,High-Risk,High-Risk
12,1,0.5853322200784713,37800,5531.389479741554,0.14633305501961782,1463.3305501961781,0.19633305501961784,7421.389479741554,1890.0,Near-Prime,High-Risk
13,1,0.5620328787634318,8838,1241.8116456278026,0.14050821969085794,1405.0821969085794,0.19050821969085796,1683.7116456278027,441.9000000000001,Near-Prime,High-Risk
14,1,0.6193810035053517,89366,13837.900689814816,0.15484525087633794,1548.4525087633795,0.20484525087633793,18306.200689814814,4468.299999999997,Near-Prime,High-Risk
15,0,0.3621380055613568,23698,2145.4866139482583,0.0905345013903392,905.345013903392,0.14053450139033918,3330.386613948258,1184.8999999999996,Near-Prime,Subprime
16,0,0.08922327665032995,96751,2158.110309799018,0.022305819162582487,223.05819162582486,0.0723058191625825,6995.660309799019,4837.550000000001,Prime,Prime
17,1,0.8265046664078957,17006,3513.8845892331683,0.20662616660197392,2066.261666019739,0.2566261666019739,4364.1845892331685,850.3000000000002,High-Risk,High-Risk
18,1,0.5904099936921854,17370,2563.855397608315,0.14760249842304635,1476.0249842304634,0.19760249842304634,3432.355397608315,868.5,Near-Prime,High-Risk
19,0,0.275627396685434,114987,7923.391865667,0.0689068491713585,689.068491713585,0.1189068491713585,13672.741865667,5749.349999999999,Prime,Near-Prime
20,1,0.7448857113610262,47492,8844.028050989464,0.18622142784025655,1862.2142784025655,0.23622142784025657,11218.628050989466,2374.600000000002,Subprime,High-Risk
21,1,0.7913299676615979,46646,9228.094417885724,0.19783249191539948,1978.3249191539949,0.24783249191539947,11560.394417885724,2332.2999999999993,Subprime,High-Risk
22,1,0.8382449753039569,13233,2773.1239395493153,0.20956124382598923,2095.6124382598923,0.2595612438259892,3434.7739395493154,661.6500000000001,High-Risk,High-Risk
23,0,0.1592139112687154,198613,7905.488139703343,0.03980347781717885,398.0347781717885,0.08980347781717885,17836.13813970334,9930.649999999998,Prime,Near-Prime
24,1,0.7786644766304525,23801,4633.248302070349,0.19466611915761312,1946.6611915761312,0.2446661191576131,5823.29830207035,1190.0500000000002,Subprime,High-Risk
25,1,0.7121284791194384,11288,2009.6265680750553,0.1780321197798596,1780.3211977985961,0.2280321197798596,2574.0265680750554,564.4000000000001,Subprime,High-Risk
26,1,0.8054750009263411,172225,34680.73300863477,0.20136875023158526,2013.6875023158527,0.2513687502315853,43291.98300863477,8611.25,High-Risk,High-Risk
27,0,0.2208531541152855,23470,1295.8558817714377,0.055213288528821375,552.1328852882137,0.10521328852882138,2469.355881771438,1173.5000000000002,Prime,Near-Prime
28,0,0.3376525199767434,47753,4030.980196612357,0.08441312999418585,844.1312999418585,0.13441312999418586,6418.630196612357,2387.6500000000005,Prime,Subprime
29,1,0.8234970243281979,77099,15872.699269669933,0.20587425608204948,2058.742560820495,0.2558742560820495,19727.649269669935,3854.9500000000025,High-Risk,High-Risk
30,1,0.6041749780057161,21253,3210.132701888871,0.15104374450142902,1510.4374450142902,0.20104374450142903,4272.782701888871,1062.65,Near-Prime,High-Risk
31,0,0.33315385044827106,6385,531.7968337780527,0.08328846261206777,832.8846261206777,0.13328846261206778,851.0468337780528,319.2500000000001,Prime,Subprime
32,1,0.7265862924095203,219260,39827.82761842786,0.18164657310238008,1816.4657310238008,0.23164657310238007,50790.82761842785,10962.999999999993,Subprime,High-Risk
33,0,0.32206235061911226,163460,13161.077958050022,0.08051558765477806,805.1558765477806,0.13051558765477805,21334.07795805002,8172.999999999998,Prime,Subprime
34,0,0.45522512002223936,25107,2857.334272099591,0.11380628000555984,1138.0628000555985,0.16380628000555986,4112.684272099591,1255.35,Near-Prime,Subprime
35,1,0.8489430419670247,20489,4348.498496715592,0.2122357604917562,2122.3576049175617,0.2622357604917562,5372.948496715592,1024.4499999999998,High-Risk,High-Risk
36,1,0.7629523212417301,19349,3690.591115926559,0.19073808031043252,1907.3808031043252,0.24073808031043253,4658.0411159265595,967.4500000000007,Subprime,High-Risk
37,1,0.7593253425233063,8806,1671.6547415650589,0.18983133563082658,1898.3133563082658,0.2398313356308266,2111.954741565059,440.3000000000002,Subprime,High-Risk
38,1,0.8050245270299625,72343,14559.472339732145,0.20125613175749063,2012.5613175749063,0.2512561317574906,18176.622339732145,3617.1499999999996,High-Risk,High-Risk
39,1,0.534554681076969,13000,1737.3027135001494,0.13363867026924225,1336.3867026924227,0.18363867026924224,2387.3027135001494,650.0,Near-Prime,High-Risk
40,1,0.7515153164561493,11268,2117.018646456973,0.18787882911403733,1878.7882911403733,0.23787882911403735,2680.418646456973,563.4000000000001,Subprime,High-Risk
